character_id,name,secret_identity,alignment_id,eye_color_id,hair_color_id,sex_id,gsm_id,alive,appearances,universe_id,first_appearance_year
32,Franklin Rock (New Earth),Public Identity,2,5,7,5,3,Living Characters,492.0,2,1959.0
33,Garth (New Earth),Public Identity,2,19,3,5,3,Deceased Characters,487.0,2,1960.0
34,Rex Mason (New Earth),Secret Identity,1,4,7,5,3,Living Characters,470.0,2,1965.0
35,Zatanna Zatara (New Earth),Public Identity,2,5,3,2,3,Living Characters,439.0,2,1964.0
36,Aztar (New Earth),Secret Identity,1,24,7,5,3,Living Characters,436.0,2,1940.0
37,Theodore Kord (New Earth),Secret Identity,1,5,7,5,3,Deceased Characters,429.0,2,1986.0
38,Michael Jon Carter (New Earth),Public Identity,2,5,4,5,3,Living Characters,427.0,2,1986.0
39,Cassandra Sandsmark (New Earth),Public Identity,2,5,4,2,3,Living Characters,423.0,2,1996.0
40,Kent Nelson (New Earth),Secret Identity,2,5,4,5,3,Deceased Characters,422.0,2,1940.0
41,Harvey Bullock (New Earth),Public Identity,2,6,3,5,3,Living Characters,413.0,2,1974.0
42,Rachel Roth (New Earth),Secret Identity,2,19,3,2,3,Living Characters,399.0,2,1980.0
43,Helena Bertinelli (New Earth),Secret Identity,2,5,3,2,3,Living Characters,393.0,2,1989.0
44,Wesley Dodds (New Earth),Secret Identity,2,6,7,5,3,Deceased Characters,391.0,2,1939.0
45,Uxas (New Earth),Public Identity,1,20,7,5,3,Deceased Characters,388.0,2,1970.0
46,Nathaniel Adam (New Earth),Secret Identity,2,5,27,5,3,Living Characters,386.0,2,1987.0
47,Ronald Raymond (New Earth),Secret Identity,2,5,7,5,3,Living Characters,386.0,2,1978.0
48,Red Tornado (New Earth),Secret Identity,2,9,7,5,3,Living Characters,374.0,2,1968.0
49,John Constantine (New Earth),Public Identity,2,5,4,5,1,Living Characters,371.0,2,1984.0
50,Albert Pratt (New Earth),Secret Identity,2,5,20,5,3,Deceased Characters,370.0,2,1940.0
51,Charles McNider (New Earth),Secret Identity,1,5,4,5,3,Deceased Characters,361.0,2,1941.0
52,Theodore Knight (New Earth),Secret Identity,2,6,7,5,3,Deceased Characters,356.0,2,1941.0
53,Lobo (New Earth),Public Identity,3,20,3,5,3,Living Characters,353.0,2,1983.0
54,Perry White (New Earth),Public Identity,1,5,7,5,3,Living Characters,350.0,2,1986.0
55,John Henry Irons (New Earth),Public Identity,2,6,7,5,3,Living Characters,345.0,2,1993.0
56,Jefferson Pierce (New Earth),Secret Identity,2,6,7,5,3,Living Characters,344.0,2,1977.0
57,Slade Wilson (New Earth),Secret Identity,3,5,27,5,3,Living Characters,336.0,2,1980.0
58,Phantom Stranger (New Earth),Secret Identity,1,4,3,5,3,Living Characters,335.0,2,1952.0
59,Beatriz da Costa (New Earth),Secret Identity,2,9,10,2,3,Living Characters,325.0,2,1982.0
60,William Batson (New Earth),Secret Identity,2,5,3,5,3,Living Characters,321.0,2,1940.0
61,Carol Ferris (New Earth),Public Identity,3,5,3,2,3,Living Characters,319.0,2,1959.0
62,Clifford Steele (New Earth),Public Identity,1,17,7,5,3,Living Characters,314.0,2,1963.0
63,Etrigan (New Earth),Public Identity,3,20,7,5,3,Living Characters,311.0,2,1972.0
64,Jennifer-Lynn Hayden (New Earth),Secret Identity,2,9,10,2,3,Living Characters,309.0,2,1983.0
65,Swamp Thing (New Earth),Public Identity,2,20,7,5,3,Living Characters,309.0,2,1972.0
66,Renee Montoya (New Earth),Secret Identity,2,6,3,2,4,Living Characters,308.0,2,1992.0
67,Harvey Dent (New Earth),Public Identity,1,5,7,5,3,Living Characters,306.0,2,1942.0
68,Courtney Whitmore (New Earth),Secret Identity,2,5,4,2,3,Living Characters,305.0,2,1999.0
69,Kendra Saunders (New Earth),Secret Identity,2,11,7,2,3,Deceased Characters,301.0,2,1999.0
70,Michael Holt (New Earth),Secret Identity,1,6,3,5,3,Living Characters,300.0,2,1997.0
71,Kilowog (New Earth),Public Identity,2,20,7,5,3,Living Characters,299.0,2,1986.0
72,Kara Zor-El (New Earth),Secret Identity,2,5,4,2,3,Living Characters,297.0,2,2004.0
73,Jonah Hex (New Earth),Public Identity,2,5,4,5,3,Deceased Characters,291.0,2,1972.0
74,Rex Tyler (New Earth),Secret Identity,2,5,7,5,3,Living Characters,288.0,2,1940.0
75,Pamela Isley (New Earth),Secret Identity,3,9,20,2,3,Living Characters,286.0,2,1966.0
76,Pieter Cross (New Earth),Secret Identity,2,5,3,5,3,Living Characters,284.0,2,1999.0
77,Jonathan L. Thunder (New Earth),Secret Identity,2,5,4,5,3,Living Characters,282.0,2,1940.0
78,Mari McCabe (New Earth),Secret Identity,2,1,7,2,3,Living Characters,268.0,2,1981.0
79,Scott Free (New Earth),Secret Identity,2,5,3,5,3,Living Characters,268.0,2,1971.0
80,Martha Clark (New Earth),Public Identity,2,5,27,2,3,Living Characters,266.0,2,1986.0
81,Boston Brand (New Earth),Secret Identity,2,5,7,5,3,Deceased Characters,262.0,2,1967.0
82,Daniel Turpin (New Earth),Public Identity,1,6,7,5,3,Deceased Characters,261.0,2,1942.0
83,John Zatara (New Earth),Secret Identity,2,5,3,5,3,Deceased Characters,256.0,2,1938.0
84,Jonathan Kent (New Earth),Public Identity,2,5,27,5,3,Deceased Characters,254.0,2,1986.0
85,Oswald Cobblepot (New Earth),Public Identity,1,5,3,5,3,Living Characters,253.0,2,1941.0
86,Tatsu Yamashiro (New Earth),Secret Identity,2,6,3,2,3,Living Characters,252.0,2,1983.0
87,Lawrence Trainor (New Earth),Secret Identity,2,5,4,5,3,Living Characters,250.0,2,1963.0
88,Albert Rothstein (New Earth),Secret Identity,2,5,7,5,3,Living Characters,245.0,2,1983.0
89,Brion Markov (New Earth),Secret Identity,2,9,24,5,3,Living Characters,245.0,2,1983.0
90,Sanderson Hawkins (New Earth),Secret Identity,2,5,4,5,3,Living Characters,241.0,2,1941.0
91,Jonathan Chambers (New Earth),Secret Identity,2,5,4,5,3,Deceased Characters,239.0,2,1941.0
92,Orion (New Earth),Public Identity,2,5,24,5,3,Deceased Characters,237.0,2,1971.0
93,Thaal Sinestro (New Earth),Public Identity,3,26,3,5,3,Living Characters,237.0,2,1961.0
94,Cassandra Cain (New Earth),Secret Identity,2,6,3,2,3,Living Characters,235.0,2,1999.0
95,Jason Todd (New Earth),Secret Identity,3,5,3,5,3,Living Characters,235.0,2,1987.0
96,Susan Dearbon (New Earth),Public Identity,2,4,3,2,3,Deceased Characters,235.0,2,1961.0
97,Jean-Paul Valley (New Earth),Secret Identity,2,5,4,5,3,Deceased Characters,234.0,2,1992.0
98,Hippolyta (New Earth),Public Identity,2,5,3,2,3,Living Characters,231.0,2,1987.0
99,Joseph Wilson (New Earth),Secret Identity,3,9,4,5,3,Living Characters,229.0,2,1984.0
100,Bernhard Baker (New Earth),Secret Identity,2,5,4,5,3,Living Characters,229.0,2,1965.0
101,Sylvester Pemberton (New Earth),Secret Identity,2,5,3,5,3,Deceased Characters,229.0,2,1941.0
102,Jesse Chambers (New Earth),Public Identity,2,5,4,2,3,Living Characters,228.0,2,1992.0
103,Floyd Lawton (New Earth),Secret Identity,3,5,7,5,3,Living Characters,227.0,2,1950.0
104,Mera (New Earth),Public Identity,1,5,20,2,3,Living Characters,226.0,2,1963.0
105,Tora Olafsdotter (New Earth),Public Identity,2,5,27,2,3,Living Characters,225.0,2,1988.0
106,George Harkness (New Earth),Secret Identity,1,6,7,5,3,Living Characters,224.0,2,1960.0
107,Amanda Waller (New Earth),Public Identity,2,6,3,2,3,Living Characters,222.0,2,1986.0
108,Jonathan Crane (New Earth),Public Identity,1,5,7,5,3,Living Characters,222.0,2,1941.0
109,Leonard Snart (New Earth),Secret Identity,1,6,7,5,3,Living Characters,219.0,2,1957.0
110,Shiera Sanders (New Earth),Secret Identity,2,6,20,2,3,Living Characters,219.0,2,1940.0
111,Maxwell Lord IV (New Earth),Public Identity,3,4,7,5,3,Living Characters,218.0,2,1987.0
112,Jeb Stuart (New Earth),Public Identity,2,5,7,5,3,Living Characters,218.0,2,1961.0
113,Damian Wayne (Prime Earth),Secret Identity,2,5,3,5,3,Deceased Characters,216.0,2,1987.0
114,Big Barda (New Earth),Secret Identity,2,5,3,2,3,Deceased Characters,216.0,2,1971.0
115,Niles Caulder (New Earth),Public Identity,2,5,11,5,3,Living Characters,214.0,2,1963.0
116,James Corrigan (New Earth),Secret Identity,2,5,20,5,3,Deceased Characters,214.0,2,1940.0
117,Samuel Bradley (New Earth),Public Identity,2,10,11,5,3,Living Characters,213.0,2,1937.0
118,Richard Tyler (New Earth),Public Identity,2,6,7,5,3,Living Characters,212.0,2,1985.0
119,James Ewell Brown Stuart (New Earth),Public Identity,2,4,7,5,3,Deceased Characters,212.0,2,1961.0
120,Todd Rice (New Earth),Public Identity,2,6,7,5,4,Living Characters,208.0,2,1983.0
121,Yz (New Earth),Secret Identity,2,20,7,5,3,Living Characters,207.0,2,1940.0
122,Matrix (Pocket Universe),Public Identity,2,5,4,2,3,Living Characters,206.0,2,1988.0
123,Wolfgang Winks (New Earth),Public Identity,2,4,3,5,3,Living Characters,206.0,2,1942.0
124,William Glenmorgan (New Earth),Public Identity,2,5,3,5,3,Deceased Characters,199.0,2,1940.0
125,Stephanie Brown (New Earth),Secret Identity,2,5,4,2,3,Living Characters,198.0,2,1992.0
126,Raymond Terrill (New Earth),Secret Identity,2,9,20,5,3,Living Characters,192.0,2,1992.0
127,Adam Blake (New Earth),Public Identity,2,11,7,5,3,Living Characters,191.0,2,1951.0
128,Kimiyo Hoshi (New Earth),Secret Identity,1,4,3,2,3,Living Characters,189.0,2,1985.0
129,Jack Ryder (New Earth),Secret Identity,2,5,3,5,3,Living Characters,188.0,2,1968.0
130,Vandar Adg (New Earth),Public Identity,1,6,3,5,3,Living Characters,188.0,2,1943.0
131,Justin Arthur (New Earth),Secret Identity,2,5,4,5,3,Living Characters,184.0,2,1941.0
132,Max Mercury (New Earth),Secret Identity,2,5,11,5,3,Living Characters,183.0,2,1940.0
133,Abigail Arcane (New Earth),Public Identity,2,5,27,2,3,Living Characters,182.0,2,1973.0
134,Thomas Haukins (New Earth),Secret Identity,2,5,4,5,3,Deceased Characters,181.0,2,1947.0
135,Margaret Sawyer (New Earth),Public Identity,1,5,7,2,4,Living Characters,180.0,2,1987.0
136,Waylon Jones (New Earth),Public Identity,1,20,7,5,3,Living Characters,180.0,2,1983.0
137,Travis Morgan (New Earth),Public Identity,2,5,27,5,3,Deceased Characters,180.0,2,1975.0
138,Gorilla Grodd (New Earth),Public Identity,1,10,3,5,3,Living Characters,179.0,2,1959.0
139,Talia al Ghul (New Earth),Secret Identity,1,6,7,2,3,Deceased Characters,177.0,2,1971.0
140,Adam Strange (New Earth),Public Identity,1,5,4,5,3,Living Characters,177.0,2,1958.0
141,Patrick Dugan (New Earth),Secret Identity,2,5,20,5,3,Living Characters,177.0,2,1941.0
142,Daniel Cassidy (New Earth),Secret Identity,2,26,7,5,3,Living Characters,176.0,2,1984.0
143,James Harper Clone (New Earth),Public Identity,2,5,7,5,3,Living Characters,176.0,2,1971.0
144,Thomas Kalmaku (New Earth),Public Identity,2,6,3,5,3,Living Characters,176.0,2,1960.0
145,Gabrielle Doe (New Earth),Secret Identity,2,5,4,2,3,Living Characters,175.0,2,1983.0
146,Henry Hall (New Earth),Secret Identity,2,20,7,5,3,Living Characters,175.0,2,1968.0
147,Connor Hawke (New Earth),Secret Identity,2,9,4,5,3,Living Characters,174.0,2,1994.0
148,Linda Park (New Earth),Public Identity,1,6,3,2,3,Living Characters,174.0,2,1989.0
149,Cyrus Gold (New Earth),Secret Identity,1,4,27,5,3,Deceased Characters,174.0,2,1944.0
150,Edward Nashton (New Earth),Public Identity,3,5,3,5,3,Living Characters,173.0,2,1988.0
151,Arisia Rrab (New Earth),Public Identity,2,26,4,2,3,Living Characters,173.0,2,1981.0
152,Robert Crane (New Earth),Secret Identity,2,20,7,5,3,Living Characters,171.0,2,1942.0
153,Joan Williams (New Earth),Public Identity,1,5,11,2,3,Living Characters,171.0,2,1940.0
154,William Magnus (New Earth),Public Identity,2,5,7,5,3,Living Characters,170.0,2,1962.0
155,Mary Batson (New Earth),Secret Identity,2,5,7,2,3,Living Characters,168.0,2,1995.0
156,Jean Loring (New Earth),Public Identity,1,9,3,2,3,Deceased Characters,168.0,2,1961.0
157,Oberon (New Earth),Public Identity,1,5,27,5,3,Living Characters,167.0,2,1971.0
158,Grant Emerson (New Earth),Public Identity,2,5,3,5,3,Deceased Characters,166.0,2,1994.0
159,Rita Farr (New Earth),Secret Identity,2,6,7,2,3,Living Characters,166.0,2,1963.0
160,Jason Rusch (New Earth),Secret Identity,2,6,3,5,3,Living Characters,165.0,2,2004.0
161,Hector Hall (New Earth),Secret Identity,2,5,27,5,3,Deceased Characters,165.0,2,1983.0
162,Mercury (New Earth),Secret Identity,2,17,7,5,3,Living Characters,165.0,2,1962.0
163,Jaime Reyes (New Earth),Secret Identity,2,6,3,5,3,Living Characters,164.0,2,2006.0
164,Platinum (New Earth),Secret Identity,2,17,7,2,3,Living Characters,164.0,2,1962.0
165,Andre Chavard (New Earth),Public Identity,2,4,7,5,3,Living Characters,164.0,2,1942.0
166,Daniel Leong (New Earth),Secret Identity,2,4,3,5,3,Deceased Characters,164.0,2,1942.0
167,Vril Dox II (New Earth),Public Identity,2,9,4,5,3,Living Characters,163.0,2,1964.0
168,Roy Raymond Sr. (New Earth),Public Identity,2,5,7,5,3,Living Characters,163.0,2,1949.0
169,Uncle Sam (New Earth),Secret Identity,1,5,27,5,3,Living Characters,162.0,2,1940.0
170,Metron (New Earth),Secret Identity,3,5,3,5,3,Deceased Characters,161.0,2,1971.0
171,Iron (New Earth),Secret Identity,2,17,7,5,3,Living Characters,161.0,2,1962.0
172,Lead (New Earth),Secret Identity,2,17,7,5,3,Living Characters,161.0,2,1962.0
173,Lucas Carr (New Earth),Public Identity,1,5,7,5,3,Living Characters,161.0,2,1960.0
174,Hartley Rathaway (New Earth),Secret Identity,2,5,20,5,4,Living Characters,160.0,2,1959.0
175,Lana Lang (New Earth),Public Identity,2,9,20,2,3,Living Characters,159.0,2,1986.0
176,Rose Wilson (New Earth),Secret Identity,2,5,27,2,3,Living Characters,158.0,2,1992.0
177,DeSaad (New Earth),Public Identity,1,4,3,5,3,Living Characters,158.0,2,1971.0
178,Charles Taine (Pre-Zero Hour),Secret Identity,2,4,3,5,3,Living Characters,158.0,2,1961.0
179,Bane (New Earth),Secret Identity,1,6,7,5,3,Living Characters,157.0,2,1993.0
180,Salakk (New Earth),Secret Identity,2,24,7,5,3,Living Characters,155.0,2,1982.0
181,Tin (New Earth),Secret Identity,2,17,7,5,3,Living Characters,155.0,2,1962.0
182,Samuel Morgan (New Earth),,2,4,20,5,3,Deceased Characters,155.0,2,1937.0
183,Eve Eden (New Earth),Secret Identity,3,5,4,2,3,Living Characters,154.0,2,1966.0
184,Harleen Quinzel (New Earth),Public Identity,1,5,4,2,3,Living Characters,153.0,2,1999.0
185,Benjamin Turner (New Earth),Secret Identity,3,6,3,5,3,Living Characters,153.0,2,1975.0
186,Mark Mardon (New Earth),Secret Identity,1,5,3,5,3,Living Characters,152.0,2,1960.0
187,Teth-Adam (New Earth),Secret Identity,3,6,3,5,3,Living Characters,152.0,2,1945.0
188,Catherine Grant (New Earth),Public Identity,2,5,4,2,3,Living Characters,151.0,2,1987.0
189,Terrence Sloane (New Earth),Secret Identity,2,5,7,5,3,Deceased Characters,151.0,2,1942.0
190,Jason Blood (New Earth),Public Identity,2,5,20,5,3,Living Characters,148.0,2,1972.0
191,Gold (New Earth),Secret Identity,2,17,7,5,3,Living Characters,147.0,2,1962.0
192,Victor Fries (New Earth),Secret Identity,1,5,7,5,3,Living Characters,143.0,2,1959.0
193,Thomas Wayne (New Earth),Public Identity,2,6,7,5,3,Deceased Characters,142.0,2,1987.0
194,Arthur Light (New Earth),Public Identity,1,4,3,5,3,Deceased Characters,142.0,2,1962.0
195,Lester Davis (New Earth),Public Identity,2,4,3,5,3,Living Characters,142.0,2,1957.0
196,Artemis of Bana-Mighdall (New Earth),Public Identity,2,9,20,2,3,Living Characters,141.0,2,1994.0
197,Alanna Strange (New Earth),Public Identity,2,5,3,2,3,Living Characters,141.0,2,1958.0
198,Nuidis Vulko (New Earth),Public Identity,2,5,27,5,3,Living Characters,140.0,2,1967.0
199,Steven Dayton (New Earth),Secret Identity,2,5,7,5,3,Living Characters,140.0,2,1964.0
200,Lee Travis (New Earth),Secret Identity,2,4,3,5,3,Deceased Characters,139.0,2,1938.0
201,Martin Stein (New Earth),Secret Identity,2,6,11,5,3,Deceased Characters,138.0,2,1978.0
202,Solis (New Earth),Secret Identity,1,5,24,5,3,Living Characters,138.0,2,1971.0
203,Alfred Twidgett (New Earth),Public Identity,1,4,7,5,3,Living Characters,137.0,2,1942.0
204,Tubby Watts (New Earth),,2,4,20,5,3,Living Characters,137.0,2,1941.0
205,Unknown Soldier I (New Earth),Secret Identity,2,5,4,5,3,Deceased Characters,136.0,2,1970.0
206,Giovanni Giuseppe (New Earth),Secret Identity,3,5,4,5,3,Deceased Characters,136.0,2,1960.0
207,Cynthia Reynolds (New Earth),Secret Identity,2,5,3,2,3,Living Characters,134.0,2,1984.0
208,Victoria Vale (New Earth),Public Identity,2,5,20,2,3,Living Characters,134.0,2,1948.0
209,Lucius Fox (New Earth),Public Identity,2,6,3,5,3,Living Characters,133.0,2,1979.0
210,Ganthet (New Earth),Public Identity,2,9,27,5,3,Living Characters,132.0,2,1992.0
211,Izaya (New Earth),Public Identity,2,10,27,5,3,Deceased Characters,132.0,2,1971.0
212,Barbara Ann Minerva (New Earth),Public Identity,1,6,7,2,3,Living Characters,131.0,2,1987.0
213,Rory Regan (New Earth),Secret Identity,2,5,7,5,3,Living Characters,131.0,2,1976.0
214,Eclipso (New Earth),Secret Identity,1,20,3,5,3,Living Characters,131.0,2,1963.0
215,Mick Rory (New Earth),Public Identity,1,5,7,5,3,Living Characters,131.0,2,1963.0
216,Kyle Morgan (New Earth),Public Identity,2,6,4,5,3,Living Characters,131.0,2,1957.0
217,Matthew Ryan (New Earth),Public Identity,2,5,20,5,3,Living Characters,131.0,2,1957.0
218,Dinah Drake (New Earth),Secret Identity,2,5,3,2,3,Deceased Characters,131.0,2,1947.0
219,Robert Langstrom (New Earth),Secret Identity,3,6,7,5,3,Living Characters,130.0,2,1970.0
220,Sargent Steel (New Earth),Public Identity,2,5,7,5,3,Living Characters,130.0,2,1964.0
221,Victory (New Earth),,2,4,27,5,3,Living Characters,130.0,2,1941.0
222,Katma Tui (New Earth),Public Identity,2,4,3,2,3,Deceased Characters,129.0,2,1964.0
223,Walter Haley (New Earth),Public Identity,2,6,7,5,3,Living Characters,129.0,2,1957.0
224,Charles Victor Szasz (New Earth),Secret Identity,2,5,24,5,3,Deceased Characters,128.0,2,1967.0
225,Ares (New Earth),Public Identity,1,20,4,5,3,Living Characters,127.0,2,1987.0
226,Rip Carter (New Earth),Public Identity,2,4,3,5,3,Living Characters,127.0,2,1942.0
227,Eradicator (New Earth),Public Identity,2,17,3,5,3,Deceased Characters,126.0,2,1989.0
228,Emil Hamilton (New Earth),Public Identity,1,11,11,5,3,Living Characters,126.0,2,1987.0
229,Richard Swift (New Earth),Secret Identity,3,10,3,5,3,Living Characters,126.0,2,1942.0
230,Frederick Freeman (New Earth),Secret Identity,2,5,3,5,3,Living Characters,125.0,2,1995.0
231,Katar Hol (New Earth),Secret Identity,2,5,3,5,3,Living Characters,125.0,2,1989.0
232,Richard Occult (New Earth),Secret Identity,1,10,3,5,3,Living Characters,125.0,2,1935.0
233,Maxima (New Earth),Public Identity,2,6,20,2,3,Deceased Characters,124.0,2,1989.0
234,Dawn Granger (New Earth),Secret Identity,2,5,27,2,3,Living Characters,124.0,2,1988.0
235,Inza Cramer (New Earth),Secret Identity,2,9,24,2,3,Deceased Characters,124.0,2,1940.0
236,Linda Danvers (New Earth),Secret Identity,2,5,4,2,3,Living Characters,123.0,2,1996.0
237,Dubbilex (New Earth),Public Identity,2,9,7,5,3,Living Characters,123.0,2,1971.0
238,Gunner MacKay (New Earth),Public Identity,2,5,4,5,3,Deceased Characters,123.0,2,1959.0
239,Antonia Monetti (New Earth),Secret Identity,2,5,3,2,3,Living Characters,122.0,2,1996.0
240,Jack Knight (New Earth),Public Identity,2,4,3,5,3,Living Characters,122.0,2,1994.0
241,Skeets (New Earth),Public Identity,2,4,7,5,3,Living Characters,122.0,2,1986.0
242,Nimue Inwudu (New Earth),Public Identity,2,9,3,2,3,Living Characters,121.0,2,1978.0
243,Khaji Da (New Earth),Secret Identity,2,4,7,5,3,Living Characters,121.0,2,1964.0
244,Sarge Clay (New Earth),Public Identity,2,5,24,5,3,Deceased Characters,121.0,2,1959.0
245,Elizabeth Lawrence (New Earth),Secret Identity,1,5,4,2,3,Living Characters,120.0,2,1942.0
246,Pallas Athena (New Earth),Public Identity,3,10,7,2,3,Living Characters,118.0,2,1958.0
247,Crispus Allen (New Earth),Secret Identity,2,6,7,5,3,Deceased Characters,116.0,2,2000.0
248,Evan McCulloch (New Earth),Secret Identity,1,6,7,5,3,Living Characters,116.0,2,1989.0
249,Terrence Long (New Earth),Public Identity,2,5,20,5,3,Deceased Characters,116.0,2,1981.0
250,Strata (New Earth),Public Identity,2,24,7,2,3,Living Characters,115.0,2,1989.0
251,Granny Goodness (New Earth),Public Identity,1,5,27,2,3,Deceased Characters,115.0,2,1971.0
252,Dolphin (New Earth),,2,5,23,2,3,Deceased Characters,115.0,2,1968.0
253,Zeus (New Earth),Public Identity,3,5,27,5,3,Living Characters,115.0,2,1941.0
254,Holly Robinson (New Earth),Secret Identity,2,5,20,2,4,Living Characters,114.0,2,1987.0
255,Martha Kane (New Earth),Public Identity,2,5,3,2,3,Deceased Characters,113.0,2,1987.0
256,Jason Woodrue (New Earth),Public Identity,1,20,10,5,3,Living Characters,113.0,2,1962.0
257,John Sargent (New Earth),Secret Identity,2,6,7,5,3,Deceased Characters,113.0,2,1941.0
258,Dian Belmont (New Earth),Public Identity,2,11,7,2,3,Deceased Characters,113.0,2,1940.0
259,Edward Bloomberg (New Earth),Secret Identity,2,26,11,5,3,Deceased Characters,111.0,2,1984.0
260,Leslie Thompkins (New Earth),Public Identity,2,5,27,2,3,Living Characters,111.0,2,1976.0
261,Tara Markov (Team Titans),Secret Identity,2,5,4,2,3,Deceased Characters,110.0,2,1991.0
262,Dmitri Pushkin (New Earth),Secret Identity,2,6,7,5,3,Deceased Characters,110.0,2,1987.0
263,June Moone (New Earth),Secret Identity,2,9,3,2,3,Living Characters,110.0,2,1966.0
264,Mia Dearden (New Earth),Secret Identity,2,5,4,2,3,Living Characters,109.0,2,2001.0
265,Krypto (New Earth),Secret Identity,2,5,27,5,3,Living Characters,109.0,2,1955.0
266,Ohiyesa I (New Earth),Public Identity,2,4,3,5,3,Living Characters,109.0,2,1949.0
267,Donald Richards (New Earth),Secret Identity,2,6,7,5,3,Deceased Characters,109.0,2,1942.0
268,Zauriel (New Earth),Public Identity,2,20,27,5,3,Living Characters,108.0,2,1997.0
269,Leonid Kovar (New Earth),Secret Identity,2,9,4,5,3,Living Characters,108.0,2,1968.0
270,Thomas Blake (New Earth),Secret Identity,3,5,4,5,3,Living Characters,108.0,2,1963.0
271,Emily Briggs (New Earth),Public Identity,2,5,20,2,3,Living Characters,107.0,2,1985.0
272,Lilith Clay (New Earth),Secret Identity,2,9,24,2,3,Deceased Characters,107.0,2,1970.0
273,Thomas Tresser (New Earth),Secret Identity,2,5,4,5,3,Living Characters,106.0,2,1980.0
274,Hans von Hammer (New Earth),Public Identity,2,5,20,5,3,Living Characters,106.0,2,1965.0
275,William Polk (New Earth),Secret Identity,2,5,7,5,3,Living Characters,106.0,2,1948.0
276,Lyla Michaels (New Earth),Public Identity,2,9,4,2,3,Deceased Characters,105.0,2,1982.0
277,Bruce Gordon (New Earth),Public Identity,2,4,7,5,3,Living Characters,105.0,2,1963.0
278,Sugar Plumm (New Earth),,2,4,4,2,3,Living Characters,105.0,2,1956.0
279,Jervis Tetch (New Earth),Secret Identity,1,5,20,5,3,Living Characters,105.0,2,1948.0
280,Enya Wazzo (New Earth),Secret Identity,2,5,3,2,3,Living Characters,104.0,2,1989.0
281,Werner Vertigo (New Earth),Secret Identity,3,5,4,5,3,Living Characters,104.0,2,1978.0
282,Sapphire Stagg (New Earth),,3,5,4,2,3,Living Characters,104.0,2,1965.0
283,Zinda Blake (New Earth),Secret Identity,2,5,4,2,3,Living Characters,104.0,2,1959.0
